*ActiveDAQ HHS versie1.07
*Date 19-10-12 Time: 14:00:17
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     3.690     4.094     4.094
     3.700     4.095     4.095
     3.710     4.094     2.056
     3.720     4.094     2.040
     3.730     4.095     2.056
     3.740     4.094     2.045
     3.750     4.094     2.047
     3.760     4.094     2.054
     3.770     4.095     2.041
     3.780     4.095     2.055
     3.790     4.094     2.047
     3.800     4.094     2.040
     3.810     4.094     2.051
     3.820     4.095     2.046
     3.830     4.095     2.035
     3.840     4.094     2.055
     3.850     4.094     2.039
     3.860     4.095     2.049
     3.870     4.093     2.046
     3.880     4.094     2.035
     3.890     4.094     2.053
     3.900     4.094     2.046
     3.910     4.094     2.040
     3.920     4.093     2.054
     3.930     4.094     2.042
     3.940     4.094     2.046
     3.950     4.094     2.048
     3.960     4.095     2.035
     3.970     4.094     2.053
     3.980     4.094     2.045
     3.990     4.095     2.044
     4.000     4.094     2.056
     4.010     4.094     2.046
     4.020     4.094     2.045
     4.030     4.094     2.052
     4.040     4.094     2.033
     4.050     4.094     2.053
     4.060     4.094     2.043
     4.070     4.095     2.044
     4.080     4.094     2.056
     4.090     4.094     2.038
     4.100     4.095     2.044
     4.110     4.094     2.052
     4.120     4.094     2.033
     4.130     4.094     4.095
     4.140     4.094     4.095
     4.150     4.095     4.095
     4.160     4.094     4.095
     4.170     4.094     4.095
     4.180     4.094     4.095
     4.190     4.093     4.094
     4.200     2.038     4.095
     4.210     2.047     4.095
     4.220     2.042     4.094
     4.230     2.037     4.095
     4.240     2.054     4.094
     4.250     2.041     4.094
     4.260     2.048     4.094
     4.270     2.049     4.094
     4.280     2.043     4.095
     4.290     2.055     4.094
     4.300     2.048     4.094
     4.310     2.037     4.095
     4.320     2.056     4.094
     4.330     2.041     4.095
     4.340     2.048     4.095
     4.350     2.045     4.095
     4.360     2.037     4.095
     4.370     2.056     4.094
     4.380     2.039     4.094
     4.390     2.050     4.094
     4.400     2.055     4.094
     4.410     2.042     4.094
     4.420     2.050     4.095
     4.430     2.045     4.094
     4.440     2.031     4.095
     4.450     2.056     4.094
     4.460     2.041     4.095
     4.470     2.051     4.094
     4.480     2.045     4.094
     4.490     2.036     4.095
     4.500     2.053     4.094
     4.510     2.048     4.094
     4.520     2.037     4.095
     4.530     2.058     4.095
     4.540     2.043     4.095
     4.550     2.047     4.094
     4.560     4.094     4.094
     4.570     4.094     4.094
     4.580     4.094     4.094
     4.590     4.094     4.094
     4.600     4.094     4.094
     4.610     4.094     4.094
     4.620     4.095     4.094
     4.630     4.095     2.055
     4.640     4.094     2.044
     4.650     4.095     2.031
     4.660     4.094     2.058
     4.670     4.094     2.042
     4.680     4.094     2.054
     4.690     4.094     2.055
     4.700     4.094     2.044
     4.710     4.094     2.051
     4.720     4.094     2.053
     4.730     4.094     2.038
     4.740     4.094     2.053
     4.750     4.093     2.046
     4.760     4.094     2.043
     4.770     4.094     2.054
     4.780     4.094     2.037
     4.790     4.094     2.058
     4.800     4.094     2.054
     4.810     4.094     2.040
     4.820     4.094     2.052
     4.830     4.094     2.041
     4.840     4.094     2.045
     4.850     4.094     2.048
     4.860     4.094     2.036
     4.870     4.095     2.057
     4.880     4.094     2.041
     4.890     4.095     2.045
     4.900     4.094     2.057
     4.910     4.095     2.042
     4.920     4.094     2.048
     4.930     4.094     2.044
     4.940     4.093     2.038
     4.950     4.094     2.056
     4.960     4.094     2.039
     4.970     4.095     2.047
     4.980     4.094     2.055
     4.990     4.094     2.043
     5.000     4.094     2.039
     5.010     4.094     2.056
     5.020     4.093     2.040
     5.030     4.094     2.061
     5.040     4.094     2.046
     5.050     4.094     2.050
     5.060     4.093     2.048
     5.070     4.094     2.035
     5.080     4.094     2.057
     5.090     4.094     3.806
     5.100     4.093     4.094
     5.110     4.094     4.095
     5.120     4.094     4.095
     5.130     4.094     4.095
     5.140     4.094     4.095
     5.150     4.094     4.094
     5.160     4.094     4.095
     5.170     4.094     4.094
     5.180     4.092     4.095
     5.190     2.053     4.094
     5.200     2.049     4.095
     5.210     2.035     4.095
     5.220     2.055     4.095
     5.230     2.043     4.095
     5.240     2.056     4.095
     5.250     2.043     4.095
     5.260     2.039     4.094
     5.270     2.050     4.095
     5.280     2.039     4.095
     5.290     2.055     4.095
     5.300     2.053     4.094
     5.310     2.043     4.094
     5.320     2.057     4.094
     5.330     2.044     4.094
     5.340     2.044     4.095
     5.350     2.052     4.095
     5.360     2.041     4.095
     5.370     2.055     4.095
     5.380     2.046     4.094
     5.390     2.039     4.095
     5.400     2.051     4.094
     5.410     2.046     4.095
     5.420     2.046     4.094
     5.430     2.064     4.094
     5.440     2.040     4.094
     5.450     2.061     4.094
     5.460     2.046     4.094
     5.470     2.742     4.092
     5.480     4.095     4.095
     5.490     3.935     4.095
     5.500     4.095     3.982
     5.510     4.094     4.094
     5.520     4.094     4.017
     5.530     4.095     3.940
     5.540     4.094     4.094
     5.550     4.094     4.013
     5.560     4.095     4.093
     5.570     4.094     4.077
     5.580     4.094     4.094
     5.590     4.094     4.094
     5.600     4.094     4.094
     5.610     4.095     4.095
     5.620     4.094     4.094
     5.630     4.094     4.094
     5.640     4.094     4.095
     5.650     4.095     4.094
     5.660     4.094     4.095
     5.670     4.094     4.094
     5.680     4.094     4.094
     5.690     4.094     4.094
     5.700     4.094     3.477
     5.710     4.094     2.040
     5.720     4.094     2.057
     5.730     4.094     2.039
     5.740     4.094     2.055
     5.750     4.094     2.053
     5.760     4.094     2.035
     5.770     4.094     2.053
     5.780     4.094     2.034
     5.790     4.095     2.048
     5.800     4.094     2.052
     5.810     4.094     2.048
     5.820     4.094     2.044
     5.830     4.094     2.063
     5.840     4.094     2.043
     5.850     4.094     2.057
     5.860     4.094     2.049
     5.870     4.094     2.043
     5.880     4.094     4.095
     5.890     4.094     4.095
     5.900     4.094     4.095
     5.910     3.843     4.095
     5.920     2.039     4.095
     5.930     2.057     4.095
     5.940     2.043     4.094
     5.950     2.031     4.095
     5.960     2.056     4.095
     5.970     2.040     4.095
     5.980     2.059     4.094
     5.990     2.040     4.094
     6.000     2.040     4.094
     6.010     2.050     4.094
