*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 12:48:07
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     6.900     4.090     2.045
     6.910     4.091     2.026
     6.920     4.090     2.061
     6.930     4.091     2.036
     6.940     4.090     2.054
     6.950     4.090     2.048
     6.960     4.091     2.028
     6.970     4.091     2.058
     6.980     4.091     2.037
     6.990     4.091     2.059
     7.000     4.090     2.057
     7.010     4.091     2.035
     7.020     4.090     2.063
     7.030     4.090     2.053
     7.040     4.090     4.091
     7.050     4.091     4.092
     7.060     4.090     4.091
     7.070     4.090     4.092
     7.080     4.090     4.091
     7.090     4.091     4.091
     7.100     2.053     4.092
     7.110     2.050     4.090
     7.120     2.027     4.092
     7.130     2.069     4.091
     7.140     2.040     4.091
     7.150     2.050     4.091
     7.160     2.041     4.091
     7.170     2.030     4.091
     7.180     2.069     4.091
     7.190     2.033     4.091
     7.200     2.031     4.091
     7.210     2.066     4.091
     7.220     2.041     4.091
     7.230     2.050     4.091
     7.240     2.040     4.090
     7.250     2.029     4.091
     7.260     2.064     4.091
     7.270     2.040     4.091
     7.280     2.052     4.091
     7.290     2.051     4.091
     7.300     2.033     4.091
     7.310     2.051     4.092
     7.320     2.043     4.090
     7.330     2.031     4.092
     7.340     2.058     4.091
     7.350     2.038     4.091
     7.360     2.052     4.091
     7.370     2.039     4.091
     7.380     2.033     4.091
     7.390     2.059     4.091
     7.400     2.047     4.091
     7.410     2.024     4.091
     7.420     2.063     4.091
     7.430     2.032     4.091
     7.440     2.056     4.091
     7.450     2.046     4.091
     7.460     2.031     4.091
     7.470     2.060     4.091
     7.480     2.033     4.090
     7.490     2.051     4.091
     7.500     2.059     4.091
     7.510     2.050     4.091
     7.520     2.028     4.091
     7.530     2.067     4.091
     7.540     4.091     4.091
     7.550     4.091     4.091
     7.560     4.091     4.091
     7.570     4.091     4.091
     7.580     4.091     4.091
     7.590     4.091     4.091
     7.600     4.091     4.091
     7.610     4.091     4.091
     7.620     4.091     4.091
     7.630     4.091     4.091
     7.640     4.091     4.091
     7.650     4.090     2.030
     7.660     4.091     2.061
     7.670     4.091     2.035
     7.680     4.091     2.047
     7.690     4.090     2.041
     7.700     4.091     2.037
     7.710     4.091     2.051
     7.720     4.091     2.049
     7.730     4.091     2.028
     7.740     4.090     2.061
     7.750     4.090     2.041
     7.760     4.091     2.054
     7.770     4.091     2.046
     7.780     4.091     2.032
     7.790     4.091     2.067
     7.800     4.091     2.044
     7.810     4.091     2.030
     7.820     4.091     2.065
     7.830     4.091     2.039
     7.840     4.091     2.056
     7.850     4.091     2.052
     7.860     4.091     2.027
     7.870     4.091     2.064
     7.880     4.091     2.041
     7.890     4.091     2.045
     7.900     4.090     2.064
     7.910     4.091     2.040
     7.920     4.091     2.045
     7.930     4.090     2.043
     7.940     4.091     2.028
     7.950     4.091     2.064
     7.960     4.090     2.039
     7.970     4.091     2.045
     7.980     4.090     2.047
     7.990     4.091     2.032
     8.000     4.091     2.050
     8.010     4.090     2.045
     8.020     4.091     2.032
     8.030     4.091     2.064
     8.040     4.090     2.037
     8.050     4.091     2.053
     8.060     4.091     2.049
     8.070     4.091     2.030
     8.080     4.091     2.059
     8.090     4.090     2.036
     8.100     4.090     2.034
     8.110     4.091     2.070
     8.120     4.091     2.040
     8.130     4.091     2.060
     8.140     4.090     2.050
     8.150     4.091     2.029
     8.160     4.091     4.091
     8.170     4.091     4.091
     8.180     4.091     4.092
     8.190     4.091     4.092
     8.200     4.091     4.091
     8.210     4.091     4.091
     8.220     4.090     4.091
     8.230     4.091     4.091
     8.240     4.091     4.092
     8.250     4.091     4.091
     8.260     4.091     4.091
     8.270     4.090     4.091
     8.280     4.091     4.091
     8.290     4.090     4.091
     8.300     4.090     4.091
     8.310     4.090     4.092
     8.320     4.091     4.092
     8.330     4.091     4.091
     8.340     4.090     4.090
     8.350     4.091     4.091
     8.360     4.090     4.091
     8.370     4.091     4.091
     8.380     4.090     4.091
     8.390     4.090     4.091
     8.400     4.090     4.091
     8.410     4.090     4.091
     8.420     4.091     4.091
     8.430     4.090     4.091
