Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
527,-0.4375,0.0625,1.0625,-0.6582031,0.005371094,0.7797852,0.2636719,0.3046875,-0.4765625
530,-0.1875,0.25,1.6875,-0.6855469,0.009277344,0.7641602,0.2749023,0.3076172,-0.4848633
533,-0.3125,-0.1875,1.5,-0.6816406,0.005371094,0.7719727,0.2749023,0.3076172,-0.4848633
536,-0.4375,0.1875,1.5625,-0.7050781,0.03662109,0.7875977,0.2749023,0.3076172,-0.4848633
539,-0.5,0,0.8125,-0.6972656,0.02099609,0.7875977,0.2695313,0.3046875,-0.4765625
542,-0.8125,-0.625,0.6875,-0.6777344,-0.001953125,0.7875977,0.2695313,0.3046875,-0.4765625
545,-1,-0.3125,0.75,-0.6738281,0.005371094,0.7719727,0.2695313,0.3017578,-0.4794922
548,-0.875,-0.4375,0.1875,-0.6542969,0.009277344,0.8066406,0.2695313,0.3017578,-0.4794922
551,-0.8125,0,-0.1875,-0.7011719,0.005371094,0.7719727,0.2695313,0.2910156,-0.4765625
554,-0.5,0,-0.25,-0.6777344,0.01318359,0.7641602,0.2695313,0.3017578,-0.4765625
557,-1.0625,-0.25,-0.25,-0.6464844,0.01318359,0.7915039,0.2695313,0.3017578,-0.4765625
560,-0.4375,0.125,-0.875,-0.6660156,0.02099609,0.7680664,0.2666016,0.3046875,-0.4794922
563,-0.125,-1.75,-1.1875,-0.7011719,0.04833984,0.7490234,0.2666016,0.3046875,-0.4794922
566,-1.5,-3.8125,-1.25,-0.7011719,0.01708984,0.7875977,0.2666016,0.3046875,-0.4794922
569,-1,-2.1875,-1.1875,-0.6621094,-0.01367188,0.7988281,0.2695313,0.3046875,-0.4824219
572,-0.375,-0.125,-0.5625,-0.6894531,-0.009765625,0.7949219,0.2695313,0.3046875,-0.4824219
575,-0.25,0.4375,-0.3125,-0.6933594,-0.005859375,0.7797852,0.2666016,0.3100586,-0.4794922
578,-0.8125,0.3125,0.0625,-0.6855469,0.009277344,0.7758789,0.2666016,0.3100586,-0.4794922
581,-0.4375,1,0.5625,-0.7089844,0.01708984,0.7641602,0.2578125,0.3100586,-0.4907227
584,-0.625,1.25,0.8125,-0.6933594,-0.01367188,0.7529297,0.2578125,0.3100586,-0.4907227
587,-1.3125,0.5625,1.75,-0.6777344,0.009277344,0.7490234,0.2636719,0.3046875,-0.4907227
590,-1.125,0.8125,2.4375,-0.6660156,0.01708984,0.7758789,0.2695313,0.3017578,-0.4824219
593,-1.125,0.4375,2.5625,-0.6972656,-0.009765625,0.7797852,0.2695313,0.3017578,-0.4824219
596,-0.8125,0.8125,2.125,-0.6660156,0.02490234,0.7490234,0.2695313,0.3017578,-0.4824219
599,-0.625,1.9375,1.8125,-0.6699219,0.001464844,0.8183594,0.2695313,0.3017578,-0.4824219
602,0.1875,2.1875,1.6875,-0.6425781,0.01318359,0.7836914,0.2695313,0.3046875,-0.465332
605,-0.0625,2.0625,0.8125,-0.6894531,0.01708984,0.7875977,0.2695313,0.3046875,-0.4824219
608,-0.75,1.4375,0.6875,-0.6699219,0.01318359,0.7797852,0.2695313,0.3046875,-0.4824219
611,-0.75,1.875,0.1875,-0.7050781,0.01708984,0.7875977,0.2695313,0.3046875,-0.4765625
614,-0.5625,1.375,0,-0.6894531,0.02880859,0.7797852,0.2695313,0.3046875,-0.4765625
617,-0.4375,1.5,-0.625,-0.6816406,-0.01367188,0.7875977,0.2636719,0.3076172,-0.487793
620,-0.6875,1.5,-0.3125,-0.7089844,0.005371094,0.7797852,0.2636719,0.3076172,-0.487793
623,-0.875,1,-0.0625,-0.7011719,0.01708984,0.7875977,0.2724609,0.3046875,-0.4848633
626,-1.0625,0.875,-0.4375,-0.7011719,0.01318359,0.7641602,0.2724609,0.3046875,-0.4848633
629,-1.375,0.8125,-0.8125,-0.6855469,0.001464844,0.7451172,0.2724609,0.3046875,-0.4848633
632,-1,-0.0625,-0.5,-0.7050781,0.03662109,0.7607422,0.2724609,0.3100586,-0.4765625
635,-1.6875,-0.9375,-0.375,-0.6933594,0.02490234,0.7719727,0.2724609,0.3100586,-0.4765625
638,-1.5625,-1.25,-0.3125,-0.6660156,0.01318359,0.7568359,0.2666016,0.3046875,-0.4677734
641,-1.375,-1.5625,-0.125,-0.7050781,0.009277344,0.7875977,0.2749023,0.3017578,-0.4736328
644,0,-0.5,0.1875,-0.6738281,0.005371094,0.7758789,0.2749023,0.3017578,-0.4736328
647,0.75,0.4375,0,-0.6777344,-0.009765625,0.7680664,0.2724609,0.3017578,-0.4907227
650,1.0625,1.75,-0.0625,-0.6660156,0.03662109,0.7836914,0.2724609,0.3017578,-0.4907227
653,1.5,1.8125,0,-0.6699219,-0.009765625,0.7719727,0.2636719,0.3046875,-0.4765625
656,0.625,0.6875,-0.125,-0.6738281,0.03662109,0.7490234,0.2636719,0.3046875,-0.4765625
659,-0.375,-0.75,0,-0.6972656,0.02490234,0.7568359,0.2724609,0.3017578,-0.487793
662,-0.625,-0.9375,0.125,-0.6660156,0.02099609,0.7719727,0.2807617,0.3017578,-0.4995117
665,-0.625,-0.375,0.5,-0.6894531,0.005371094,0.7836914,0.2807617,0.3017578,-0.4995117
668,0.1875,0.125,0.3125,-0.6933594,0.02099609,0.7915039,0.2636719,0.3100586,-0.4794922
671,0.9375,0,0.25,-0.6542969,-0.001953125,0.7719727,0.2636719,0.3100586,-0.4794922
674,0.3125,-0.4375,0.5625,-0.6621094,0.02099609,0.7797852,0.2724609,0.3017578,-0.4848633
677,0.5625,0.25,0.625,-0.6660156,-0.03710938,0.7719727,0.2749023,0.3017578,-0.487793
680,0.625,0.25,0.5625,-0.6894531,0.02880859,0.7529297,0.2749023,0.3017578,-0.487793
683,0.1875,0.9375,0.5625,-0.6894531,-0.005859375,0.7915039,0.2695313,0.2993164,-0.4824219
686,0,1.375,0.3125,-0.6816406,-0.009765625,0.7875977,0.2695313,0.2993164,-0.4824219
689,-0.3125,0.5,-0.125,-0.6738281,0.03271484,0.7797852,0.2695313,0.2963867,-0.4765625
692,-1.0625,-0.0625,-0.3125,-0.7050781,0.005371094,0.7988281,0.2695313,0.3100586,-0.487793
695,-1.5625,-0.0625,-0.3125,-0.6660156,0.009277344,0.7875977,0.2695313,0.3100586,-0.487793
698,-0.5625,0.375,-0.4375,-0.6855469,0.01318359,0.8027344,0.2666016,0.3017578,-0.4794922
701,-0.5,0.6875,-0.4375,-0.6621094,0.009277344,0.7719727,0.2666016,0.3017578,-0.4794922
704,-0.125,1.1875,-0.375,-0.6503906,0.03271484,0.8183594,0.2695313,0.3046875,-0.4794922
707,0,1,-0.25,-0.6894531,0.009277344,0.7719727,0.2695313,0.3046875,-0.4794922
710,-0.25,0.25,-0.3125,-0.7167969,0.01318359,0.7568359,0.2666016,0.3076172,-0.4765625
713,-0.1875,-0.25,-0.5625,-0.6816406,0.03662109,0.8027344,0.277832,0.3046875,-0.4765625
716,-0.0625,0.3125,-0.375,-0.6816406,-0.001953125,0.7607422,0.277832,0.3046875,-0.4765625
719,0.375,0.8125,0.125,-0.7050781,0.009277344,0.7758789,0.2666016,0.3046875,-0.4765625
722,0.3125,1.3125,0.3125,-0.6894531,0.009277344,0.7529297,0.2666016,0.3046875,-0.4765625
725,0.25,0.875,0.5,-0.7089844,0.03271484,0.7758789,0.2607422,0.3017578,-0.4824219
728,0.25,0.8125,0,-0.6855469,0.02880859,0.7607422,0.2695313,0.2963867,-0.4794922
731,-0.0625,0.4375,0.125,-0.6582031,0.01708984,0.7758789,0.2695313,0.2963867,-0.4794922
734,0,0,-0.1875,-0.6816406,0.01318359,0.7836914,0.2636719,0.3076172,-0.4736328
737,0.3125,0.3125,0.0625,-0.6855469,0.005371094,0.7836914,0.2636719,0.3076172,-0.4736328
740,0,0,-0.0625,-0.6933594,0.02099609,0.7836914,0.2636719,0.3129883,-0.4824219
743,-0.3125,-0.6875,-0.625,-0.6933594,0.02099609,0.7797852,0.2636719,0.3129883,-0.4824219
746,-0.375,-0.625,-0.8125,-0.6933594,0.02099609,0.7607422,0.2607422,0.3017578,-0.4794922
749,-0.4375,-0.1875,-1,-0.6933594,0.005371094,0.8144531,0.2607422,0.3076172,-0.4707031
752,-0.3125,0.1875,-0.5625,-0.6894531,0.02490234,0.8027344,0.2607422,0.3076172,-0.4707031
755,0.0625,0.375,-0.375,-0.7011719,0.03662109,0.7680664,0.2636719,0.3046875,-0.4736328
758,-0.5625,-0.125,-0.4375,-0.6972656,0.009277344,0.7758789,0.2636719,0.3046875,-0.4736328
761,-0.875,-1,-1.125,-0.6894531,-0.001953125,0.7758789,0.2695313,0.2993164,-0.4794922
764,-0.8125,-0.5625,-0.875,-0.6621094,-0.009765625,0.7875977,0.2724609,0.2963867,-0.487793
767,-0.0625,-0.25,-0.75,-0.6972656,0.01318359,0.7949219,0.2724609,0.2963867,-0.487793
770,0,0.0625,-0.875,-0.6855469,-0.001953125,0.7568359,0.2724609,0.2963867,-0.4824219
773,0.625,0.9375,-1.125,-0.6894531,0.02099609,0.7680664,0.2724609,0.2963867,-0.4824219
776,0.6875,0.6875,-0.6875,-0.6855469,-0.005859375,0.7797852,0.2749023,0.3046875,-0.4848633
779,0.6875,0.75,-1,-0.6972656,0.02099609,0.7568359,0.2749023,0.3046875,-0.4848633
782,0.3125,0.25,-0.75,-0.6972656,-0.005859375,0.7680664,0.2695313,0.3017578,-0.4907227
785,0.1875,-0.1875,-0.8125,-0.6855469,0.02099609,0.7451172,0.2695313,0.3017578,-0.4907227
788,0,-0.875,-0.625,-0.6816406,0.02880859,0.7875977,0.2695313,0.3017578,-0.4907227
791,0.5,-0.4375,-0.625,-0.6933594,0.009277344,0.7758789,0.2749023,0.2963867,-0.4848633
794,0.5,0,-0.75,-0.6972656,0.005371094,0.7719727,0.2749023,0.2963867,-0.4848633
797,0.75,0.75,-0.875,-0.6738281,0.02880859,0.8144531,0.2636719,0.3076172,-0.4765625
800,0.875,1,-0.6875,-0.6894531,0.02099609,0.7875977,0.2749023,0.3046875,-0.496582
803,0.625,0.3125,-0.75,-0.6699219,0.01708984,0.7836914,0.2749023,0.3046875,-0.496582
806,0.1875,-1,-1.5625,-0.6621094,0.005371094,0.7490234,0.2749023,0.2963867,-0.4736328
809,-0.25,-1.6875,-1.625,-0.6894531,0.01318359,0.7949219,0.2749023,0.2963867,-0.4736328
812,0.25,-0.9375,-1.6875,-0.6777344,-0.001953125,0.7758789,0.2666016,0.3017578,-0.4848633
815,0.5,-0.125,-1,-0.6660156,0.02880859,0.7949219,0.2666016,0.3017578,-0.4848633
818,0.4375,-0.625,-1.125,-0.6738281,0.02490234,0.7568359,0.2666016,0.3017578,-0.4848633
821,0.5625,-0.1875,-0.375,-0.7011719,0.01708984,0.7680664,0.2724609,0.3100586,-0.4824219
